MU_CODINE;MU_NOMBRE;PM_EJERCICIO;PM_GASTO1;PM_GASTO2;PM_GASTO3;PM_GASTO4;PM_GASTO5;PM_GASTO6;PM_GASTO7;PM_GASTO8;PM_GASTO9;PM_GASTO0;PM_GTOTAL;PM_INGRESO1;PM_INGRESO2;PM_INGRESO3;PM_INGRESO4;PM_INGRESO5;PM_INGRESO6;PM_INGRESO7;PM_INGRESO8;PM_INGRESO9;PM_INGRESO0;PM_ITOTAL;PM_OBSERVACIONES
03003;Agres;2006;88767.51;118884.46;795.76;24254.86;0.00;64900.00;2100.00;0.00;13625.82;0.00;313328.41;97292.29;0.00;80900.00;95550.00;150.00;0.00;39336.12;0.00;100.00;0.00;313328.41;B.O.P. 34 10/02/2006
03003;Agres;2007;96343.00;103843.55;4628.99;26600.00;0.00;155100.00;58795.98;0.00;16264.18;0.00;461575.70;109279.72;0.00;76000.00;106850.00;150.00;0.00;66356.18;0.00;102939.80;0.00;461575.70;B.O.P. 39 20/02/2007
03003;Agres;2008;97100.00;122740.51;448.32;34750.00;0.00;20200.00;0.00;0.00;12582.23;0.00;287821.06;98450.00;0.00;86150.00;101392.00;729.06;0.00;1100.00;0.00;0.00;0.00;287821.06;B.O.P. 68 10/04/2008
03003;Agres;2009;108900.00;131250.00;465.16;35750.00;0.00;150870.22;0.00;0.00;12760.56;0.00;439995.94;100650.00;0.00;98988.49;103300.00;720.00;0.00;121222.60;0.00;15114.85;0.00;439995.94;B.O.P. 80 30/04/2009
03003;Agres;2010;111700.00;125950.00;1351.02;36850.00;0.00;248068.61;0.00;0.00;23995.86;0.00;547915.49;104150.00;0.00;99596.88;104600.00;500.00;0.00;216865.89;0.00;22202.72;0.00;547915.49;B.O.P. 60 30/03/2010
03003;Agres;2011;111628.44;115000.00;1170.66;45740.00;0.00;38495.12;0.00;0.00;17862.82;0.00;329897.04;113410.35;0.00;102191.33;84600.00;100.00;0.00;29595.36;0.00;0.00;0.00;329897.04;B.O.P. 97 24/05/2011
03003;Agres;2012;99156.40;125858.81;6041.59;58854.00;0.00;11761.00;0.00;0.00;8832.83;0.00;310504.63;126962.25;0.00;99660.00;88144.31;50.00;0.00;16.00;0.00;0.00;0.00;314832.56;B.O.P. 124 02/07/2012
03003;Agres;2013;104556.40;119405.94;5200.00;61340.00;0.00;12111.00;0.00;0.00;8857.60;0.00;311470.94;128000.00;0.00;98280.00;85124.94;50.00;0.00;16.00;0.00;0.00;0.00;311470.94;B.O.P. 47 07/03/2013
03003;Agres;2014;103761.44;120606.00;1200.00;61916.71;0.00;18403.20;0.00;0.00;9856.69;0.00;315744.04;128300.00;0.00;98400.00;89136.04;1.00;0.00;17.00;0.00;0.00;0.00;315854.04;B.O.P. 52 17/03/2014
03003;Agres;2016;116676.52;153218.26;400.00;54275.00;0.00;38304.00;12355.61;0.00;6330.80;0.00;381560.19;176300.00;0.00;103670.00;90087.23;1.00;0.00;10.00;0.00;11491.96;0.00;381560.19;B.O.P. 59 30/03/2016
03003;Agres;2018;123553.53;146079.00;90.68;72304.09;0.00;78185.23;900.00;0.00;6382.78;0.00;427495.31;209285.25;0.00;100985.00;117224.06;1.00;0.00;0.00;0.00;0.00;0.00;427495.31;B.O.P. 87 09/05/2018
03003;Agres;2017;126064.02;140999.17;66.80;62199.76;0.00;63387.00;15926.08;0.00;6356.66;0.00;414999.49;188164.46;0.00;99630.00;116630.00;0.00;0.00;12.00;0.00;10467.59;0.00;414904.05;B.O.P. 99 26/05/2017
03003;Agres;2019;140819.78;155869.00;64.26;95753.88;0.00;28473.65;895.00;0.00;4715.35;0.00;426590.92;206300.00;0.00;105447.00;114843.92;0.00;0.00;0.00;0.00;0.00;0.00;426590.92;B.O.P. 119 26/06/2019
03004;Aigües;2019;425000.00;263650.00;13700.00;43700.00;8000.00;15500.00;15000.00;0.00;0.00;0.00;784550.00;398200.00;17000.00;138600.00;215200.00;15550.00;0.00;0.00;0.00;0.00;0.00;784550.00;B.O.P. 103 31/05/2019
03004;Aigües;2017;377649.06;284655.74;17100.00;25400.00;3776.49;40800.00;17000.00;0.00;0.00;0.00;766381.29;384600.00;20000.00;136710.00;201150.29;23921.00;0.00;0.00;0.00;0.00;0.00;766381.29;B.O.P. 56 21/03/2017
03004;Aigües;2020;428850.00;282700.00;13400.00;49300.00;12000.00;17750.00;15000.00;0.00;0.00;0.00;819000.00;404700.00;19000.00;123150.00;226600.00;45550.00;0.00;0.00;0.00;0.00;0.00;819000.00;B.O.P. 87 11/05/2020
03004;Aigües;2018;379934.37;268650.00;16200.00;43000.00;9518.00;42500.00;17000.00;0.00;0.00;0.00;776802.37;391200.00;11000.00;144785.00;208907.37;20910.00;0.00;0.00;0.00;0.00;0.00;776802.37;B.O.P. 62 29/03/2018
03004;Aigües;2016;382460.07;282538.69;20100.00;53883.33;0.00;36362.99;13500.00;0.00;6242.33;0.00;795087.41;370772.50;43500.00;145122.50;212851.41;22841.00;0.00;0.00;0.00;0.00;0.00;795087.41;B.O.P. 126 04/07/2016
03004;Aigües;2014;399585.73;195432.28;66364.38;28636.16;0.00;53333.93;6222.13;0.00;32180.39;0.00;781755.00;298596.00;30000.00;194081.86;210677.14;28400.00;0.00;20000.00;0.00;0.00;0.00;781755.00;B.O.P. 99 26/05/2014
03004;Aigües;2015;374757.10;253876.28;60824.58;15895.18;0.00;43438.80;11374.30;0.00;21215.69;0.00;781381.93;293250.00;60000.00;154960.00;210353.70;27050.00;0.00;35768.23;0.00;0.00;0.00;781381.93;B.O.P. 183 22/09/2015
03004;Aigües;2011;538112.62;232021.41;16080.00;80700.00;0.00;244708.64;1173.03;0.00;36750.00;0.00;1149545.70;221921.00;8000.00;203497.15;266315.42;180506.00;113000.00;156306.13;0.00;0.00;0.00;1149545.70;MINISTERIO HACIENDA - BASE PRESUPUESTOS
03004;Aigües;2010;538112.62;232021.41;16080.00;80700.00;0.00;237608.64;1173.00;0.00;36750.00;0.00;1142445.67;221921.00;8000.00;203495.15;266315.42;180506.00;113000.00;149206.13;0.00;0.00;0.00;1142443.70;B.O.P. 230 01/12/2010
03004;Aigües;2009;549956.52;258885.00;6709.68;39650.00;0.00;2980210.35;32200.00;0.00;43660.50;0.00;3911272.05;324357.88;100000.00;2057400.20;291810.54;32000.00;0.00;1074703.43;0.00;31000.00;0.00;3911272.05;MINISTERIO HACIENDA - BASE PRESUPUESTOS
03004;Aigües;2008;549956.52;258885.00;6709.68;39650.00;0.00;2980210.35;32200.00;0.00;43660.50;0.00;3911272.05;324357.88;100000.00;2057400.20;291810.54;32000.00;0.00;1074703.43;0.00;31000.00;0.00;3911272.05;B.O.P. 65 07/04/2008
03004;Aigües;2007;499237.64;353145.00;4547.96;44277.25;0.00;1909271.74;26800.00;0.00;61099.41;0.00;2898379.00;255788.15;210000.00;506583.30;243799.62;18625.25;0.00;1663582.69;0.00;0.00;0.00;2898379.01;B.O.P. 63 27/03/2007
03004;Aigües;2006;433993.42;243878.79;7768.68;43231.20;0.00;1565915.50;103988.47;0.00;56104.23;0.00;2454880.29;276424.49;183600.00;445626.84;214081.26;20000.00;1200.00;1216259.23;0.00;97688.47;0.00;2454880.29;B.O.P. 27 02/02/2006
03004;Aigües;2005;398834.51;273400.00;5841.58;44900.00;0.00;1347947.37;42995.02;0.00;36522.90;0.00;2150441.38;358700.00;200000.00;483481.34;210445.54;29000.00;1200.00;844491.81;0.00;23122.69;0.00;2150441.38;B.O.P. 41 19/02/2005
03004;Aigües;2004;309744.59;181500.00;7018.76;39950.00;0.00;874000.00;55363.00;0.00;40706.09;0.00;1508282.44;318300.00;180000.00;531001.00;155400.00;27513.54;1200.00;249000.00;0.00;15868.30;0.00;1478282.84;B.O.P. 79 05/04/2004
03004;Aigües;2003;248055.24;191525.00;6843.62;30966.00;0.00;459408.48;140861.20;0.00;38861.91;0.00;1116521.45;258200.00;66000.00;142501.00;143130.11;23150.00;1200.00;326943.48;0.00;155396.85;0.00;1116521.44;B.O.P. 280 05/12/2003
03004;Aigües;2002;199668.03;185360.07;3901.49;26720.22;0.00;447978.69;15374.67;0.00;67291.26;0.00;946294.43;229200.00;50000.00;139781.64;113008.46;19200.00;200.01;328956.39;0.00;65947.96;0.00;946294.46;B.O.P. 29 05/02/2003
03004;Aigües;2001;167751.17;275563.12;8937.27;18212.18;0.00;666369.10;30296.97;0.00;26641.21;0.00;1193771.02;97105.29;45075.91;153757.50;190642.28;19388.65;1803.04;568049.34;0.00;117949.00;0.00;1193771.01;B.O.P. 114 21/05/2001
03004;Aigües;2000;167751.17;275563.12;8937.27;18212.18;0.00;666369.10;30296.97;0.00;26641.21;0.00;1193771.02;97105.29;45075.91;153757.50;190642.28;19388.65;1803.04;568049.34;0.00;117949.00;0.00;1193771.01;B.O.P. 153 05/07/2000
03004;Aigües;1999;101100.87;189825.96;7512.65;12621.25;0.00;245901.14;6874.91;0.00;36989.51;0.00;600826.29;86087.62;30050.61;82121.77;115334.22;18240.72;6.01;263011.95;0.00;5973.39;0.00;600826.29;B.O.P.117 25-5-99
03004;Aigües;1998;103576.12;205047.47;10805.58;5086.33;0.00;219345.38;6604.45;0.00;35114.23;0.00;585579.56;95831.38;15025.30;83467.94;91835.83;84424.47;13510.75;195510.49;0.00;5973.39;0.00;585579.55;B.O.P. 159 15/7/98
03004;Aigües;1997;120451.77;156824.05;3634.27;3305.57;0.00;222252.06;10355.50;0.00;29660.85;0.00;546484.07;84670.59;12020.24;115195.99;106288.99;1202.02;9.02;217372.80;0.00;9724.44;0.00;546484.09;INFORMACION TELEFONICA
03004;Aigües;1996;94358.90;122951.45;13282.37;22708.57;0.00;74770.19;0.00;0.00;3.52;0.00;328075.00;72722.46;16527.83;117107.21;46036.76;901.52;9.02;53133.76;0.00;21636.44;0.00;328075.00;PRORROGADO DEL 95        INFORMACION TELEFONICA
03004;Aigües;1995;94358.90;122951.45;13282.37;22708.57;0.00;74770.19;0.00;0.00;3.52;0.00;328075.00;72722.46;16527.83;117107.21;46036.76;901.52;9.02;53133.76;0.00;21636.44;0.00;328075.00;DATOS TELEFONICOS        BOP NUM.286
03004;Aigües;1994;92490.40;161221.50;10517.71;19232.39;0.00;25185.41;0.00;0.00;2983.38;0.00;311630.79;82639.16;17128.84;110285.72;34257.69;1202.02;6.01;66111.33;0.00;0.00;0.00;311630.77;BOP NUM.262
03004;Aigües;1993;116450.05;110706.43;6438.77;5559.36;0.00;49463.30;0.00;0.00;2983.38;0.00;291601.29;60748.60;23138.97;115211.95;15926.82;2313.90;6.01;74255.05;0.00;0.00;0.00;291601.30;BOP. 228
03004;Aigües;1992;93533.57;102292.26;5679.56;6020.26;0.00;32647.57;0.00;0.00;4287.83;0.00;244461.05;52722.72;20728.37;92655.95;14748.31;2404.05;6.01;61195.65;0.00;0.00;0.00;244461.06;BOP.209
03004;Aigües;1991;74059.61;101483.95;5479.88;5256.45;0.00;192082.79;0.00;0.00;63153.53;0.00;441516.21;41793.88;15043.33;77378.23;13823.28;2404.05;6.01;241187.29;0.00;51086.03;0.00;442722.10;TELEFONO
03004;Aigües;1990;61864.09;98382.15;5479.88;4657.84;0.00;222406.49;0.00;0.00;60148.47;0.00;452938.92;43954.06;16996.62;75638.39;10667.96;1803.04;83462.55;172335.34;0.00;48080.97;0.00;452938.93;
03004;Aigües;1989;39412.11;79273.50;1669.95;3726.28;0.00;304122.16;0.00;0.00;18419.03;0.00;446623.03;42729.78;2829.56;87093.07;18150.57;1502.53;0.00;198155.57;0.00;96161.94;0.00;446623.02;
03004;Aigües;1988;28616.46;80896.23;450.76;450.76;0.00;199943.19;29885.50;0.00;7120.18;0.00;347363.08;40589.50;2008.92;90687.89;15025.30;1322.23;0.00;197669.12;0.00;0.00;0.00;347302.96;
03004;Aigües;1987;27590.62;108250.99;448.22;1382.33;0.00;0.00;29885.50;0.00;7120.18;0.00;174677.84;9471.66;1936.80;114683.69;13222.27;1202.02;0.00;34161.40;0.00;7120.18;0.00;181798.02;
03004;Aigües;1986;25164.63;30852.10;0.00;450.76;0.00;55162.71;0.00;3.01;11179.88;0.00;122813.09;12471.00;1636.29;48529.62;9015.18;1502.53;0.00;49649.44;3.01;6.01;0.00;122813.08;
03004;Aigües;1985;22925.43;36748.89;0.00;30.05;0.00;132870.84;0.00;1502.53;11033.95;0.00;205111.69;10637.91;1636.29;102493.45;7898.26;1052.07;0.00;79891.16;1502.53;0.00;0.00;205111.67;
03004;Aigües;1984;17770.04;23559.67;0.00;753.27;0.00;0.00;0.00;0.00;4207.99;0.00;46290.97;3972.69;909.15;32964.91;8113.66;330.56;0.00;0.00;0.00;0.00;0.00;46290.97;
03005;Albatera;1984;267003.88;246220.63;42146.98;42479.54;0.00;0.00;0.00;5409.11;18401.64;0.00;621661.78;85354.13;32310.41;175966.97;213359.30;35219.31;6.01;0.00;601.01;0.00;78904.75;621721.89;
03005;Albatera;1985;305168.08;214276.36;47647.78;36932.19;0.00;0.00;0.60;5409.11;19953.36;0.00;629387.48;96700.74;38557.33;203795.05;249238.22;27778.12;0.01;0.00;901.52;0.00;12416.45;629387.44;
03005;Albatera;1986;338508.43;269679.44;42838.15;37803.66;0.00;174168.07;0.00;6310.63;31548.63;0.00;900857.01;134349.42;44360.25;307864.64;260536.81;23497.81;0.01;92762.00;1803.04;35683.04;0.00;900857.02;
03005;Albatera;1987;350518.28;378712.42;46064.55;88752.79;0.00;108229.76;0.00;7512.65;25263.80;0.00;1005054.25;278540.39;51437.10;282437.87;266703.83;27970.09;0.00;57096.15;3005.06;37863.76;0.00;1005054.25;
03005;Albatera;1988;463570.90;445659.70;41426.32;107706.75;0.00;105414.17;0.00;7512.65;28357.74;0.00;1199648.23;241222.27;66025.72;333981.92;422383.39;27615.69;0.00;9458.25;3005.06;95955.92;0.00;1199648.22;
03005;Albatera;1989;562171.99;438301.46;72901.29;74363.01;0.00;496756.69;0.00;7512.65;43218.58;0.00;1695225.67;275136.81;78401.77;424414.25;442459.40;28114.74;0.00;137034.62;3005.06;306659.01;0.00;1695225.66;
03005;Albatera;1990;682523.43;554579.00;82658.93;93797.13;0.00;261794.30;0.00;3005.06;55446.38;0.00;1733804.23;532631.87;82008.17;302485.65;517676.51;34202.68;0.00;164345.13;3005.06;97449.17;0.00;1733804.24;
03005;Albatera;1991;880608.15;648973.99;99347.43;148532.96;0.00;655553.96;0.00;3005.06;93538.87;0.00;2529560.42;638734.68;123207.48;369906.24;593655.28;161223.51;0.00;430379.67;3005.06;209448.51;0.00;2529560.43;ENVIARON FAX
03005;Albatera;1992;941265.88;659013.50;98204.68;135383.51;0.00;514701.69;0.00;3005.06;115530.98;0.00;2467105.30;688096.28;138232.78;509287.10;664022.17;37423.77;0.00;253903.62;3005.06;173134.51;0.00;2467105.29;BOP. 175
03005;Albatera;1993;981589.57;667465.89;90772.16;123663.78;0.00;412643.32;0.00;3005.06;119485.78;0.00;2398625.56;732097.24;120202.42;493827.44;696433.54;43433.89;0.00;175536.43;3005.06;134090.70;0.00;2398626.72;BOP. 144
03005;Albatera;1994;999841.86;740572.22;86071.86;20885.65;0.00;967070.85;0.00;3005.06;135710.79;0.00;2953158.29;762918.07;60101.21;555739.50;725294.53;130580.64;0.00;491342.75;3005.06;224176.53;0.00;2953158.29;BOP NUM.171
03005;Albatera;1995;1062302.96;978336.55;67380.36;82623.54;0.00;704540.11;0.00;3005.06;118323.49;0.00;3016512.07;750950.77;60101.21;595878.07;784089.48;32214.25;0.00;452091.85;3005.06;338181.38;0.00;3016512.07;B.O.P. N.280
03005;Albatera;1996;1278503.11;1037399.44;60798.31;77557.76;0.00;953999.01;0.00;3005.06;92890.13;0.00;3504152.82;817493.82;72121.45;900944.09;802285.44;123757.40;0.00;330266.31;3005.06;454279.26;0.00;3504152.83;B.O.P. N.182
03005;Albatera;1997;1174700.06;1314636.38;64035.16;100763.77;0.00;3355393.70;0.00;4507.59;75593.79;0.00;6089630.45;912514.33;126212.54;2490038.58;849273.54;51790.17;0.00;471173.48;4507.59;1184120.22;0.00;6089630.45;B.O.P. N 184
03005;Albatera;1998;1285579.10;1372967.70;64667.86;125304.79;0.00;2802141.86;0.00;4507.59;81509.41;0.00;5736678.31;971302.84;118429.44;2075499.23;922610.17;121361.83;0.60;750589.91;4507.59;772376.73;0.00;5736678.34;B.O.P. 183 12/8/98
03005;Albatera;1999;1313085.60;1493638.93;64408.35;125411.03;0.00;2796343.99;0.00;4507.59;84270.30;0.00;5881665.79;1040686.01;144242.91;2399259.76;931551.46;84116.81;422881.55;755553.21;4507.59;98866.49;0.00;5881665.79;B.O.P.214 16/09/99
03005;Albatera;2000;1421087.11;1687690.07;65654.56;159346.34;0.00;5695605.40;0.00;4507.59;93439.35;0.00;9127330.42;1187660.02;192323.87;4224598.22;1010121.04;155878.50;78131.57;1805740.87;4507.59;468368.73;0.00;9127330.41;CIVIS - GVA.ES
03005;Albatera;2001;1571381.44;1872742.04;94676.68;185959.28;0.00;3621801.20;0.00;4507.59;112592.19;0.00;7463660.42;1342591.70;216364.36;1396108.01;1174533.75;65725.84;0.00;2394548.85;4507.59;869280.32;0.00;7463660.42;B.O.P. 117 24/05/2001
